シナリオのテキスト,キャラ名,キャラの表情,BGM,Voice,SE,一人目表示,二人目表示,画面フェード,背景
王都から出たことなかったから、こういった産業が/盛んなところは新鮮だ!,Lucius,happy_open,M4,Lucius_scenario_hahahaha,,In,In,Out,Orphia_veranda
王都とは違った活気があって良いな!,Lucius,happy_close,,,,In,In,,
だろ!/へへっ…故郷を褒められるのって照れくさいな,Theobalt,happy,,Theobalt_scenario_ou,,In,In,,
如何にも「テオが育った街」って感じがするでしょう?,Orphia,happy_open,,,,In,In,,
少なくともオルフィア感は無いぞ,Tem,normal,,,,In,In,,
そうね…,Filo,normal,,,,In,In,,
うふふ。,Orphia,happy_close,,,,In,In,,
私はね、この街の外れにあるもう少し静かなところに住んでいるの。,Orphia,normal_open,,Orphia_scenario_ee,,In,In,,
オルフィアの家は教会なんだ!,Theobalt,happy_close,,,,In,In,,
よくおじさんにしばかれたなぁ…,Theobalt,sad,,,,In,In,,
あっちの方向から、強いけど温かい力を感じる。,Tem,glad,,Tem_scenario_nee,,In,In,,
なんだテム!/あっちはオルフィアの家がある方向だぞ!,Theobalt,trouble,,,,In,In,,
そうなんだ……わ!,Tem,normal_open,,,,In,In,,
よくわかったな!/はっはっはっはっ!,Theobalt,happy,,,,In,In,,
ーーーナデナデ。,None,None,,,,In,In,,
や、やめてくれ…。,Tem,trouble_open,,Tem_scenario_eetto,,In,In,,
,,,,,,,,In,
みんないらっしゃい。/ここが私の家よ。この裏が教会になっているの,Orphia,happy_open,,,,In,In,Out,Orphia_bedroom
おじさんただいまー!/…ってあれ?,Theobalt,happy,M1,,,In,In,,
いないみたいだな。/薪集めでもしてるのか。,Theobalt,happy_close,,,,In,In,,
今お茶出すからみんなはここに座ってて,Orphia,normal,,,,In,In,,
ありがとうオルフィア。/何か手伝えることがあったら遠慮なく言って欲しい。,Lucius,glad_close,,,,In,In,,
いいのよ、気にしないで,Orphia,happy_close,,Orphia_scenario_ee,,In,In,,
お嬢ちゃん、君はなぜ母親を探しているんだ?,Nicola,trouble_close,,,,In,In,Out,
私は……/ずっと施設で育てられて、お母さんに会ったことないの。,Filo,normal,,,,In,In,,
でもつい最近、施設の人達が話してるの聞いちゃったんだ。,Filo,normal,,Filo_scenario_haa,,In,In,,
…私のお母さんは政府で悪い事してるから/私に会いに来れないんだって。,Filo,sad,,,,In,In,,
そんな…なんて酷いこと言うんだ……,Lucius,sad_close,,,,In,In,,
それを聞いて頭が真っ白になって……/気付いたら施設を飛び出してた。,Filo,sad,,,,In,In,,
ホントのこと知りたいの。/お母さんはどうして私を施設に預けたのか…,Filo,sad,,,,In,In,,
どこで何をしてるのか…/会ってちゃんとお話したいの。,Filo,sad,,,,In,In,,
………,Tem,trouble,,,,In,In,,
俺と君の母親…/クレモナとは同僚として政府に勤めていた。,Nicola,trouble_open,,Nicola_scenario_haa,,In,In,,
もっとも、それは昔の話だがな。,Nicola,trouble_close,,,,In,In,,
クレモナは俺たち同期の中ではズバ抜けて優秀だったし、/容姿も秀でててな。,Nicola,trouble_close,,,,In,In,,
お嬢ちゃんと同じ、きれいな翡翠色の瞳だった。,Nicola,trouble_open,,,,In,In,,
…おじさん、お母さんのこと好きだったでしょ,Filo,normal,,Filo_scenario_neenee,,In,In,,
ふん、何ませたこと言ってやがる。,Nicola,trouble_close,,Nicola_scenario_tigau,,In,In,,
……まぁ、/他の奴らと比べて仲は良かった。,Nicola,trouble_open,,,,In,In,,
だからこそアイツを止めてやらなきゃならなかったんだ。,Nicola,trouble_open,,,,In,In,,
10年前のあの時、無理矢理にでも一緒に脱退させるべきだった…,Nicola,trouble_close,,,,In,In,,
随分な言い草ね、ニコラ,Clemona?,None,,Clemona_scenario_haa,,In,In,,
?!!,Nicola,None,plot,,,In,In,,Orphia_veranda
クレモナッ…!,Nicola,surprise_open,,,,In,In,,
感動の再会を惜しんでいる暇はないの。/ひれ伏しなさい。,Clemona,battle,,Clemona_scenario_gomennasai,,In,In,,
下がって!!,Lucius,angry_open,,,,In,In,,
くそっ!/何だってんだ!!,Nicola,battle,,,,In,,,
